depth_mm,age_calBP,d18OcarbVPDB
374.710,2492.36,-9.94
374.770,2492.61,-10.06
374.830,2492.86,-10.01
374.890,2493.11,-9.84
374.950,2493.36,-9.89
375.010,2493.61,-9.87
375.070,2493.86,-9.87
375.130,2494.11,-9.87
375.190,2494.36,-9.90
375.250,2494.61,-10.05
375.310,2494.86,-10.10
375.370,2495.11,-10.05
375.430,2495.36,-9.95
375.490,2495.61,-9.81
375.550,2495.86,-9.95
375.610,2496.11,-10.03
375.670,2496.36,-9.88
375.730,2496.61,-9.86
375.790,2496.86,-9.89
375.850,2497.11,-9.78
375.910,2497.36,-9.74
375.970,2497.61,-9.90
376.030,2497.86,-9.75
376.090,2498.11,-9.86
376.150,2498.36,-9.74
376.210,2498.61,-9.77
376.270,2498.86,-9.75
376.330,2499.11,-9.66
376.390,2499.36,-9.72
376.450,2499.61,-9.74
376.510,2499.86,-9.61
376.570,2500.11,-9.69
376.630,2500.36,-9.73
376.690,2500.61,-9.84
376.750,2500.86,-9.69
376.810,2501.11,-9.63
376.870,2501.36,-9.82
376.930,2501.61,-9.64
376.990,2501.86,-9.74
377.050,2502.11,-9.68
377.110,2502.36,-9.81
377.170,2502.61,-9.86
377.230,2502.86,-9.91
377.290,2503.11,-9.92
377.350,2503.36,-9.82
377.410,2503.61,-9.96
377.470,2503.86,-9.87
377.530,2504.11,-9.87
377.590,2504.36,-9.87
377.650,2504.61,-9.65
377.710,2504.86,-9.78
377.770,2505.11,-9.76
377.830,2505.36,-9.66
377.890,2505.61,-9.59
377.950,2505.86,-9.64
378.010,2506.11,-9.61
378.070,2506.36,-9.56
378.130,2506.61,-9.52
378.190,2506.86,-9.56
378.250,2507.11,-9.53
378.310,2507.36,-9.45
378.370,2507.61,-9.58
378.430,2507.86,-9.54
378.490,2508.11,-9.49
378.550,2508.36,-9.63
378.610,2508.61,-9.67
378.670,2508.86,-9.58
378.730,2509.11,-9.54
378.790,2509.36,-9.61
378.850,2509.61,-9.62
378.910,2509.86,-9.63
378.970,2510.11,-9.66
379.030,2510.36,-9.67
379.090,2510.61,-9.71
379.150,2510.86,-9.74
379.210,2511.11,-9.85
379.270,2511.36,-9.70
379.330,2511.61,-9.93
379.390,2511.86,-9.73
379.450,2512.11,-9.91
379.510,2512.36,-9.93
379.570,2512.61,-9.95
379.630,2512.86,-9.93
379.690,2513.11,-9.99
379.750,2513.36,-10.00
379.810,2513.61,-9.89
379.870,2513.86,-10.02
379.930,2514.11,-10.00
379.990,2514.36,-10.06
380.050,2514.61,-9.90
380.110,2514.86,-9.98
380.170,2515.11,-9.98
380.230,2515.36,-9.89
380.290,2515.61,-9.90
380.350,2515.86,-9.99
380.410,2516.11,-9.80
380.470,2516.36,-9.81
380.530,2516.61,-9.82
380.590,2516.86,-10.01
380.650,2517.11,-9.94
380.710,2517.36,-9.96
380.770,2517.61,-9.96
380.830,2517.86,-9.87
380.890,2518.11,-9.95
380.950,2518.36,-9.93
381.010,2518.61,-9.90
381.070,2518.86,-9.92
381.130,2519.11,-9.89
381.190,2519.36,-9.89
381.250,2519.61,-9.94
381.310,2519.86,-9.97
381.370,2520.11,-10.04
381.430,2520.36,-9.76
381.490,2520.61,-9.90
381.550,2520.86,-10.14
381.610,2521.11,-9.98
381.670,2521.36,-9.95
381.730,2521.61,-9.86
381.790,2521.86,-9.85
381.850,2522.11,-9.79
381.910,2522.36,-9.72
381.970,2522.61,-9.54
382.030,2522.86,-9.75
382.090,2523.11,-9.77
382.150,2523.36,-9.72
382.210,2523.61,-9.64
