"","x"
"alpha[63]",-1.21397947282201
"alpha[64]",1.12876664383432
"alpha[65]",-0.163684776815921
"alpha[66]",-2.55501603705482
"alpha[67]",2.06001827890133
"alpha[68]",0.667726336233515
"alpha[69]",0.173683416673554
"alpha[70]",0.855758869617916
"alpha[71]",-1.08372919250504
"alpha[72]",2.18875892703473
"alpha[73]",-0.977887074636582
"alpha[74]",-2.20433424253988
"alpha[75]",1.28313485055533
"alpha[76]",0.84007806773138
"alpha[77]",-1.7840575975716
"alpha[78]",-0.153878746673452
"alpha[79]",-0.441854745151106
"alpha[80]",0.814791974277127
"alpha[81]",-1.39405570055111
"alpha[82]",-0.978530032575757
"alpha[83]",0.481617902848813
"alpha[84]",-0.00146278372397931
"alpha[85]",-0.633771340295209
"alpha[86]",0.763252420500691
"alpha[87]",-0.786606171136196
"alpha[88]",0.622002065650785
"alpha[89]",1.76103855187947
"alpha[90]",0.0799132168078985
"alpha[91]",1.79107240153533
"alpha[92]",0.348389876849799
"alpha[93]",-0.469384192215041
"alpha[94]",-0.903107781947117
"alpha[95]",-0.547489015758204
"alpha[96]",-1.47924592012364
"alpha[97]",1.57988467760573
"alpha[98]",0.269572255564533
"alpha[99]",0.222012342065626
"alpha[100]",-2.03183512358037
"alpha[101]",-0.173753584204947
"alpha[102]",-0.223300988878615
"alpha[103]",-1.32939308422144
"alpha[104]",2.50839791011251
"alpha[105]",-0.986890850014851
"alpha[106]",-1.70127801816079
"alpha[107]",0.0254639751609491
"alpha[108]",-2.19470154329288
"alpha[109]",-1.64017941860825
"alpha[110]",0.536494033508739
"alpha[111]",0.780027734569259
"alpha[112]",-1.52228642735255
"alpha[113]",0.141359685012769
"alpha[114]",0.816245693169364
"alpha[115]",-1.81169999894018
"alpha[116]",1.53071124390004
"alpha[117]",-1.44127958527201
"alpha[118]",-1.1436631825461
"alpha[119]",0.018393052977983
"alpha[120]",-0.805196930116898
"alpha[121]",-0.912602652512164
"alpha[122]",0.265510335255108
"alpha[123]",-0.862629133738973
"alpha[124]",-0.790375647652137
"alpha[125]",-2.4204458457664
"alpha[126]",-2.95204031383714
"alpha[127]",-1.3701092115275
"alpha[128]",0.841574838615459
"alpha[129]",-0.630868164703611
"alpha[130]",0.190695405271109
"alpha[131]",0.358675715087485
"alpha[132]",0.796144443710617
"alpha[133]",0.127434209977246
"alpha[134]",-0.28188722939767
"alpha[135]",-0.287923199653157
"alpha[136]",0.136983281040089
"alpha[137]",0.400653839155145
"alpha[138]",-0.600646653321186
"alpha[139]",0.542334422711767
"alpha[140]",1.72430142159468
"alpha[141]",0.295547471860533
"alpha[142]",-0.118812636615816
"alpha[143]",0.401651312845025
"alpha[144]",-0.498870643866688
"alpha[145]",1.8143308738229
"alpha[146]",0.860043996487796
"alpha[147]",-0.0089859928110412
"alpha[148]",0.383764841493844
"alpha[149]",-1.21693007431198
"alpha[150]",-0.861598818166051
"alpha[151]",0.807864266313168
"alpha[152]",-0.516306623667365
"alpha[153]",0.840472303965922
"alpha[154]",-0.868154658791086
"alpha[155]",-1.83435638493337
"alpha[156]",-0.438679359665165
"alpha[157]",-0.161435331832804
"alpha[158]",-0.575951813838261
"alpha[159]",-1.01522865774193
"alpha[160]",0.425335668234125
"alpha[161]",0.318964215080566
"alpha[162]",-0.841389382808318
"alpha[163]",-0.279648629132906
"alpha[164]",0.239969045428216
"alpha[165]",-0.744032443000681
"alpha[166]",1.60873761666765
"alpha[167]",0.209111171199232
"alpha[168]",-0.730999633202357
"alpha[169]",0.086983991249451
"alpha[170]",-0.21210977615903
"alpha[171]",-2.37531102211147
"alpha[172]",-2.33285392929626
"alpha[173]",1.06739694717863
"alpha[174]",-1.75191927810203
"alpha[175]",0.539726794379621
"alpha[176]",-0.0976528237036623
"alpha[177]",-0.0558915708055164
"alpha[178]",0.160117479623857
"alpha[179]",2.29200710001242
"alpha[180]",0.512554419143474
"alpha[181]",-0.325063395113182
"alpha[182]",-0.585093425380068
"alpha[183]",0.480298447416766
"alpha[184]",-0.160465902076972
"alpha[185]",0.905465795741629
"alpha[186]",-0.197088231821588
"alpha[187]",-0.241027590319683
"alpha[188]",-1.33016842433091
"alpha[189]",0.365829170543886
"alpha[190]",1.52588629576089
"alpha[191]",0.808790884260464
"alpha[192]",0.488321021781764
"alpha[193]",-0.494603367324721
"alpha[194]",-1.21446519884928
"alpha[195]",-0.522838071607711
"alpha[196]",-0.692603712431385
"alpha[197]",0.0284027733673042
"alpha[198]",2.02783080554955
"alpha[199]",-0.671396202568785
"alpha[200]",0.763013009234072
"alpha[201]",0.218190287584251
"alpha[202]",-1.03855028395069
"alpha[203]",0.28336060266386
"alpha[204]",-0.01112528345257
"alpha[205]",1.22090866532293
"alpha[206]",-0.624654911684721
"alpha[207]",0.822276410649076
"alpha[208]",-1.01398857668905
"alpha[209]",0.0141772620215819
"alpha[210]",-0.630820274578048
"alpha[211]",-0.195054564339546
"alpha[212]",0.819868767074522
"alpha[213]",0.310311203207012
"alpha[214]",0.562041713156781
"alpha[215]",0.886672541413946
"alpha[216]",-1.26635156555931
"alpha[217]",-0.125736262356721
"alpha[218]",-1.53298457577024
"alpha[219]",0.856805297498336
"alpha[220]",1.2370206102383
"alpha[221]",2.00209532135441
"alpha[222]",2.49141011169719
"alpha[223]",0.782531194735235
"alpha[224]",1.16196685165068
"alpha[225]",0.708459031473258
"alpha[226]",0.371041182716888
"alpha[227]",0.658960914740871
"alpha[228]",0.836477095008814
"alpha[229]",1.93676894857856
"alpha[230]",-0.350186667596341
"alpha[231]",0.0183302210678656
"alpha[232]",0.0988330961204434
"alpha[233]",0.599605973111445
"alpha[234]",1.94492224812395
"alpha[235]",0.514094067413626
"alpha[236]",-0.609525328715806
"alpha[237]",-1.77138541814841
"alpha[238]",0.104927606858184
"alpha[239]",1.55931290416693
"alpha[240]",1.13953261440808
"alpha[241]",0.454907083423024
"alpha[242]",2.18989911657958
"alpha[243]",-0.697414381281059
"alpha[244]",-1.7145045724556
"alpha[245]",1.05331579691322
"alpha[246]",-1.53861854034376
"alpha[247]",-1.12285340046742
"alpha[248]",-0.479587432135943
"alpha[249]",0.118908604172597
"alpha[250]",0.801457010272644
"alpha[251]",-0.323950533550463
"alpha[252]",-0.46176922148987
"alpha[253]",1.6679436009986
"alpha[254]",-0.267797059322858
"alpha[255]",-0.4191635922625
"alpha[256]",-0.147624599280908
"alpha[257]",-1.05397494148677
"alpha[258]",-0.652900761828609
"alpha[259]",1.93038588641634
"alpha[260]",0.160097415130764
"alpha[261]",-1.43190159515517
"alpha[262]",0.588892531784847
"alpha[263]",-0.0927283947903991
"alpha[264]",0.174393138396662
"alpha[265]",0.417226152653813
"alpha[266]",1.30264772045725
"alpha[267]",-1.08985585404507
"alpha[268]",-0.105143237131896
"alpha[269]",0.500510105166926
"alpha[270]",0.366213753586312
"alpha[271]",-0.650219230613828
"alpha[272]",-1.09564954065466
"alpha[273]",-0.34427894588671
"alpha[274]",-0.575300969041161
"alpha[275]",0.607414706375503
"alpha[276]",-1.94232712558481
"alpha[277]",0.476574898280899
"alpha[278]",1.753634398799
"alpha[279]",-2.58876704348435
"alpha[280]",-0.112739032587437
"alpha[281]",-1.28863353271822
"alpha[282]",-0.90916889080304
"alpha[283]",-0.352328504745706
"alpha[284]",0.150985127712408
"alpha[285]",-0.548533160480813
"alpha[286]",-0.547327568773385
"alpha[287]",0.470182434497416
